Symbol,Final_Recommendation,Future_Score,Expected_Return,Forecast_Volatility
NESTLEIND,Strong Buy,91.50122806571461,15.1033,0.20536739882461835
SHREECEM,Buy,63.17210733110925,2.7484,0.3349509307903445
MARUTI,Buy,60.58097564706254,1.5386,0.264004201664857
EICHERMOT,Buy,60.19769610147231,5.9875,0.3808071583685392
ULTRACEMCO,Hold,56.36062670172429,3.2524,0.3508784226987981
TITAN,Hold,55.71332138710837,0.8771,0.27380654354229467
BHARTIARTL,Hold,54.62115672462744,0.4165,0.24417143920983206
RELIANCE,Hold,54.477408609882374,1.3213,0.2432890201521955
ITC,Hold,52.18577465030075,1.4858,0.19677938392650932
BRITANNIA,Hold,51.44158302102859,-0.3017,0.22804621914399917
TECHM,Hold,51.25839022354995,1.2954,0.2578187480255745
SUNPHARMA,Hold,51.00959894065058,0.9518,0.2077438641181773
ASIANPAINT,Hold,50.7301933948451,0.6174,0.30154602014244325
INFY,Hold,50.51112995718435,1.5292,0.18081665643606987
TCS,Hold,49.515581849163745,0.2767,0.2573734419041541
