Rank,Symbol,Expected_Return,Sharpe,Volatility,Sortino,Max_Drawdown,Recommendation,Confidence_Score,Explanation,Anomaly_Flag,Forecast_Volatility,Future_Score,Final_Recommendation,AI_Explainability
1,NESTLEIND,15.1033,0.57,24.23,0.963,-32.4,BUY,74.29,High return forecast (ML Driven) | Undervalued Momentum | Low Market Risk (Beta),Anomaly,0.20536739882461835,91.50122806571461,Strong Buy,NESTLEIND is rated Strong Buy because: Expected Return = 15.10%; Sharpe Ratio = 0.57; Volatility is forecasted to remain below market average; Strong confidence backed by AI predictive momentum.
2,SHREECEM,2.7484,0.83,38.97,1.213,-79.97,HOLD,52.57,,Anomaly,0.3349509307903445,63.17210733110925,Buy,SHREECEM is rated Buy because: Expected Return = 2.75%; Sharpe Ratio = 0.83; Subject to higher short-term price fluctuations.
3,ULTRACEMCO,3.2524,0.57,33.26,0.846,-77.78,HOLD,54.38,,Normal,0.3508784226987981,56.36062670172429,Hold,ULTRACEMCO is rated Hold because: Expected Return = 3.25%; Sharpe Ratio = 0.57; Subject to higher short-term price fluctuations.
4,MARUTI,1.5386,0.6,34.48,0.63,-61.34,HOLD,54.47,,Normal,0.264004201664857,60.58097564706254,Buy,MARUTI is rated Buy because: Expected Return = 1.54%; Sharpe Ratio = 0.60; Volatility is forecasted to remain below market average.
5,BAJAJ-AUTO,-1.1978,0.44,33.97,0.282,-59.92,HOLD,55.37,,Normal,0.2957197036596469,48.582455628680826,Hold,BAJAJ-AUTO is rated Hold because: Expected Return = -1.20%; Sharpe Ratio = 0.44; Volatility is forecasted to remain below market average.
6,POWERGRID,0.9439,0.14,29.71,0.263,-64.12,HOLD,56.74,,Normal,0.3293869825933843,42.62155561008285,Reduce,POWERGRID is rated Reduce because: Expected Return = 0.94%; Sharpe Ratio = 0.14; Subject to higher short-term price fluctuations.
7,TATASTEEL,-0.3982,0.29,44.19,0.257,-84.95,HOLD,56.95,,Normal,0.44450306920680416,34.612455972700445,Reduce,TATASTEEL is rated Reduce because: Expected Return = -0.40%; Sharpe Ratio = 0.29; Subject to higher short-term price fluctuations.
8,BAJAJFINSV,-3.7654,0.66,40.09,1.329,-86.79,HOLD,57.78,,Normal,0.470874398014626,35.141355879454736,Reduce,BAJAJFINSV is rated Reduce because: Expected Return = -3.77%; Sharpe Ratio = 0.66; Subject to higher short-term price fluctuations.
9,EICHERMOT,5.9875,0.6,48.03,0.593,-93.82,HOLD,58.05,,Normal,0.3808071583685392,60.19769610147231,Buy,EICHERMOT is rated Buy because: Expected Return = 5.99%; Sharpe Ratio = 0.60; Subject to higher short-term price fluctuations.
10,JSWSTEEL,-3.7779,0.33,52.21,0.234,-92.45,HOLD,58.55,,Normal,0.5596568895704626,19.766515239361315,Sell,JSWSTEEL is rated Sell because: Expected Return = -3.78%; Sharpe Ratio = 0.33; Subject to higher short-term price fluctuations.
11,RELIANCE,1.3213,0.31,38.21,0.239,-79.01,SELL,60.65,,Normal,0.2432890201521955,54.477408609882374,Hold,RELIANCE is rated Hold because: Expected Return = 1.32%; Sharpe Ratio = 0.31; Volatility is forecasted to remain below market average.
