Rank,Symbol,Expected_Return,Sharpe,Volatility,Sortino,Max_Drawdown,Recommendation,Confidence_Score,Explanation
1,NESTLEIND,15.1033,0.57,24.23,0.963,-32.4,BUY,74.29,High return forecast (ML Driven) | Undervalued Momentum | Low Market Risk (Beta)
2,SHREECEM,2.7484,0.83,38.97,1.213,-79.97,HOLD,52.57,N/A
3,ULTRACEMCO,3.2524,0.57,33.26,0.846,-77.78,HOLD,54.38,N/A
4,MARUTI,1.5386,0.6,34.48,0.63,-61.34,HOLD,54.47,N/A
5,BAJAJ-AUTO,-1.1978,0.44,33.97,0.282,-59.92,HOLD,55.37,N/A
6,POWERGRID,0.9439,0.14,29.71,0.263,-64.12,HOLD,56.74,N/A
7,TATASTEEL,-0.3982,0.29,44.19,0.257,-84.95,HOLD,56.95,N/A
8,BAJAJFINSV,-3.7654,0.66,40.09,1.329,-86.79,HOLD,57.78,N/A
9,EICHERMOT,5.9875,0.6,48.03,0.593,-93.82,HOLD,58.05,N/A
10,JSWSTEEL,-3.7779,0.33,52.21,0.234,-92.45,HOLD,58.55,N/A
11,RELIANCE,1.3213,0.31,38.21,0.239,-79.01,SELL,60.65,N/A
12,DRREDDY,-1.2493,0.2,36.91,0.642,-81.31,SELL,60.87,N/A
13,ASIANPAINT,0.6174,0.4,35.5,0.337,-92.48,SELL,61.16,N/A
14,HDFC,1.431,0.36,41.16,0.136,-81.47,SELL,61.5,N/A
15,BHARTIARTL,0.4165,0.39,39.99,0.236,-78.47,SELL,61.55,N/A
16,CIPLA,1.4148,0.06,38.82,,-89.07,SELL,61.61,N/A
17,NTPC,1.6803,0.01,30.19,,-73.16,SELL,62.62,N/A
18,ICICIBANK,1.0956,0.37,47.6,,-89.8,SELL,63.24,N/A
19,HDFCBANK,-1.021,0.36,38.04,,-84.18,SELL,64.51,N/A
20,GAIL,2.738,0.15,40.36,,-87.23,SELL,64.77,N/A
21,HINDUNILVR,1.239,0.14,35.8,,-96.62,SELL,65.16,N/A
22,AXISBANK,-1.1342,0.49,48.46,,-85.02,SELL,65.79,N/A
23,TCS,0.2767,0.24,37.69,,-82.06,SELL,66.3,N/A
24,HEROMOTOCO,1.5799,0.2,38.88,,-90.99,SELL,66.72,N/A
25,VEDL,1.7436,0.38,56.9,,-98.58,SELL,66.8,N/A
26,TITAN,0.8771,0.49,50.01,,-96.69,SELL,67.38,N/A
27,SUNPHARMA,0.9518,0.09,46.25,,-90.71,SELL,67.39,N/A
28,INDUSINDBK,0.0102,0.49,50.63,,-85.11,SELL,67.51,N/A
29,WIPRO,1.0073,-0.01,48.53,,-98.31,SELL,67.63,N/A
30,COALINDIA,2.3113,-0.36,29.83,,-75.07,SELL,68.38,N/A
31,BRITANNIA,-0.3017,0.27,33.57,,-85.36,SELL,68.51,N/A
32,KOTAKBANK,0.561,0.38,51.84,,-88.95,SELL,68.52,N/A
33,TECHM,1.2954,0.23,44.47,,-89.43,SELL,68.55,N/A
34,BAJFINANCE,-4.9679,0.68,48.67,,-93.28,SELL,68.9,N/A
35,LT,0.6247,0.19,41.08,,-87.53,SELL,68.92,N/A
36,ONGC,1.6447,0.04,41.74,,-95.96,SELL,69.59,N/A
37,GRASIM,0.3877,0.24,39.53,,-92.43,SELL,69.7,N/A
38,BPCL,0.9458,0.13,46.77,,-77.31,SELL,69.84,N/A
39,SBIN,-0.4141,0.22,42.58,,-95.68,SELL,69.94,N/A
40,UPL,1.5576,0.19,47.7,,-92.53,SELL,70.51,N/A
41,MM,0.7008,0.16,44.18,,-92.08,SELL,71.09,N/A
42,ITC,1.4858,0.06,39.13,,-94.05,SELL,71.87,N/A
43,IOC,1.9769,-0.03,42.23,,-91.0,SELL,72.47,N/A
44,TATAMOTORS,0.0088,0.2,48.87,,-95.22,SELL,72.72,N/A
45,HINDALCO,-2.9122,0.12,47.07,,-97.46,SELL,73.74,N/A
46,ADANIPORTS,-1.9442,0.15,48.26,,-91.74,SELL,76.66,N/A
47,INFY,1.5292,-0.06,47.74,,-96.88,SELL,77.73,N/A
48,ZEEL,1.6927,-0.01,52.58,,-95.96,SELL,78.43,N/A
49,HCLTECH,0.7159,0.12,51.84,,-96.82,SELL,80.43,N/A
