Symbol,Conservative_Wt,Balanced_Wt,Aggressive_Wt
NESTLEIND,0.17472282526594923,0.17343523462777466,0.13857242236044415
SHREECEM,0.1614521127000646,0.1024991678995968,0.08229239499322975
ULTRACEMCO,0.07040280019174334,0.022825569560730473,0.14789432811332556
MARUTI,0.003105408993448653,0.06300962405017907,0.02513231985863751
BAJAJ-AUTO,0.07102801045186917,0.09769881996054881,0.0696193162336977
POWERGRID,0.14049221839888756,0.09517106496101371,0.03276381308220455
TATASTEEL,0.018781558457387458,0.00634074776711037,0.011137053215929657
BAJAJFINSV,0.034530299517674196,0.16981608738162018,0.1738648336816267
EICHERMOT,0.04873370692542563,0.04918090312124087,0.1322436198135748
JSWSTEEL,0.012521315881680178,0.0028905117202991664,0.05925728517727169
RELIANCE,0.06547044521830621,0.013652568659099923,0.0447971936732603
DRREDDY,0.06361772030476841,0.10362029491944343,0.037184784593980225
ASIANPAINT,0.08536405211853178,0.02460789677409561,0.00782752262342779
HDFC,0.009435562196818008,0.007451867151416192,0.018684916843621027
BHARTIARTL,0.0403419633774455,0.06779964144583081,0.018728195735768616
