Sector,Expected_Return,Volatility,Sharpe,Stock_Count,Sector_Rank
Consumer Goods,3.17015,36.373333333333335,0.32166666666666666,6,1
Energy,1.695275,37.38,0.04875,8,2
Media,1.6927,52.58,-0.01,1,3
Chemicals,1.5576,47.7,0.19,1,4
Automobile,1.4363,41.401666666666664,0.36666666666666664,6,5
IT,0.9649000000000001,46.054,0.10400000000000001,5,6
Telecom,0.4165,39.99,0.39,1,7
Pharma,0.37243333333333334,40.66,0.11666666666666665,3,8
Materials,0.14911428571428578,44.589999999999996,0.39428571428571424,7,9
Banking,-0.15041666666666667,46.525,0.385,6,10
Infrastructure,-0.65975,44.67,0.16999999999999998,2,11
Financial Svcs,-2.4341000000000004,43.30666666666667,0.5666666666666668,3,12
